name,description,link,facebook,linkedin,instagram,youtube,website
Plant Science Graduate Student Association,"The Plant Science Graduate Student Association provides opportunities for academic collaboration and community support for graduate students in the Plant Sciences by facilitating communication between students, faculty, and staff across graduate programs",https://orgcentral.psu.edu/organization/plantsci_gsa,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Poetry Club,"The Poetry Club seeks to promote poetry as an important and beneficial art, in all its forms and presentations. We hope to foster a supportive community to aid in writing, sharing, understanding, and performing poetry.",https://orgcentral.psu.edu/organization/poetry,N/A,N/A,https://www.instagram.com/poetryclubpsu,N/A,https://go.microsoft.com/fwlink
Pokemon Society,A place where Pokémon fans can get together and enjoy every aspect of the franchise - competitive to casual.,https://orgcentral.psu.edu/organization/pokemonsociety,https://www.facebook.com/groups,N/A,https://www.instagram.com/psupokemon,N/A,http://sites.psu.edu/pokemonsociety
Polish Club,Polish Club is a group at University Park that exists as a hub for students with a Polish background to meet one another and share their own experiences.,https://orgcentral.psu.edu/organization/polishclub,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Pollock Halls Residence Association,"PHRA serves as the official voice for Pollock’s residential student population; providing advocacy, leadership, and civic engagement to encourage the holistic development of our communities.",https://orgcentral.psu.edu/organization/phra,N/A,N/A,http://instagram.com/psuphra,N/A,https://sites.psu.edu/psuphra
Pop Culture Club,A meeting of new friends to get together and talk about all things pop-culture!,https://orgcentral.psu.edu/organization/popculture,N/A,N/A,https://www.instagram.com/psupopculture,N/A,https://go.microsoft.com/fwlink
Poultry Science Club,"The Poultry Science Club promotes the study of the avian species and enhances members' understanding of the poultry industry. The club partakes in many activities, fundraisers, community service projects and develops individual and group leadership.",https://orgcentral.psu.edu/organization/poultry-science-club,https://www.facebook.com/psupoultryscience,N/A,https://www.instagram.com/psupoultryscience,N/A,https://agsci.psu.edu/students
Pre-Dental Society,"Pre-Dental Society assists students interested in a career in dentistry by educating, providing community service, and informing students how to achieve their ultimate goal.",https://orgcentral.psu.edu/organization/predental-society,N/A,N/A,https://www.instagram.com/pennstate_predental,N/A,https://go.microsoft.com/fwlink
Pre-Physical Therapy Club,Gives students who are interested in physical therapy as a profession a source of information about graduate programs in physical therapy.,https://orgcentral.psu.edu/organization/prephysical-therapy-club,N/A,N/A,https://www.instagram.com/preptclubpsu,N/A,https://sites.psu.edu/preptclubatpsu
Pre-Physician Assistant Club,The Pre-Physician Assistant Club provides students interested in the physician assistant profession with support and valuable information about graduate school and the PA career.,https://orgcentral.psu.edu/organization/prephysician-assistant-club,N/A,N/A,https://www.instagram.com/psuprepa,N/A,https://go.microsoft.com/fwlink
Pre-Vet Club,Provides a unified extracurricular medium for students interested in veterinary medicine.,https://orgcentral.psu.edu/organization/prevet-club,N/A,N/A,N/A,N/A,http://agsci.psu.edu/clubs
Pregnancy Resource&nbsp;Clinic at Penn State,To offer Penn State students facing an unplanned pregnancy hope and healing through connecting them with the resources that exist at State College's Pregnancy Resource Clinic.,https://orgcentral.psu.edu/organization/pregnancy-resource-clinic-at-penn-state,N/A,N/A,https://www.instagram.com/prc_youmatter,N/A,https://go.microsoft.com/fwlink
Presbyterian Student Fellowship,"All are welcome. You don’t have to be Presbyterian or even Christian to have a place at the table. We just hope that if you need a community, this one can be good for you!",https://orgcentral.psu.edu/organization/presbyterian-student-fellowship,N/A,N/A,https://www.instagram.com/presbyspsu,N/A,https://go.microsoft.com/fwlink
Prime,"Penn State Prime is an innovative network of students who enhance their branding, media, and analytical skills through competitive projects, interfacing with corporate and community leaders, and the diversification of their co-curricular intelligence.",https://orgcentral.psu.edu/organization/prime,https://www.facebook.com/pennstateprime,https://www.linkedin.com/company/penn-state-prime,https://www.instagram.com/pennstateprime,N/A,https://go.microsoft.com/fwlink
Professional American Football Fan Club,"A community for fans of Professional American Football. We offer viewings on gamedays, and discussions during the offseason about signings and trades. Open to fans of all teams/players!",https://orgcentral.psu.edu/organization/profootballfans,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Professional Golf Management,Provides a forum for all Professional Golf Management students to openly discuss relevant golf related issues.,https://orgcentral.psu.edu/organization/professional-golf-management,N/A,N/A,N/A,N/A,https://acquia-prod.hhd.psu.edu/rptm
Professional Management Association,We aim to prepare members for the realities and challenges of the corporate world and to provide members with an opportunity to develop leadership and managerial skills through philanthropic and organizational activities.,https://orgcentral.psu.edu/organization/pmapsu,N/A,https://www.linkedin.com/company/penn-state-university-professional-management-association,https://www.instagram.com/pma_psu,N/A,https://sites.psu.edu/pennstatepma
Professional Soccer Watch Club,"Soccer watch parties (Premier League, La Liga, Champions League, etc.), We will also play soccer pick up games.",https://orgcentral.psu.edu/organization/soccer-club,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Project 26,"Project 26 is a non-partisan, youth-led organization focused on registering students to vote.",https://orgcentral.psu.edu/organization/project26psu,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
